issueUID,projectName,raw images
DzSHqdPB76-38:16~2,1,"20191031_131157_R,20191031_131158_R,20191031_131159_R"
DzSHqdPB76-37:17~2,1,"20191031_131157_R,20191031_131158_R,20191031_131159_R"
DzSHqdPB76-39:15~1,1,"20191031_131214_R,20191031_131215_R,20191031_131216_R"
DzSHqdPB76-38:20~1,1,"20191031_131209_R,20191031_131210_R,20191031_131211_R"
DzSHqdPB76-37:22~1,1,"20191031_131209_R,20191031_131210_R,20191031_131211_R"
DzSHqdPB76-34:24~1,1,
DzSHqdPB76-35:21~1,1,"20191031_131218_R,20191031_131219_R,20191031_131220_R"
DzSHqdPB76-38:25~1,1,"20191031_131225_R,20191031_131226_R,20191031_131227_R"
DzSHqdPB76-37:26~1,1,"20191031_131225_R,20191031_131226_R,20191031_131227_R"
DzSHqdPB76-38:25~2,1,"20191031_131225_R,20191031_131226_R,20191031_131227_R"
DzSHqdPB76-36:27~1,1,"20191031_131232_R,20191031_131233_R,20191031_131234_R"
DzSHqdPB76-37:28~1,1,"20191031_131232_R,20191031_131233_R,20191031_131234_R"
DzSHqdPB76-38:29~1,1,"20191031_131240_R,20191031_131241_R,20191031_131242_R"
DzSHqdPB76-38:30~1,1,"20191031_131242_R,20191031_131243_R,20191031_131244_R"
DzSHqdPB76-37:33~1,1,"20191031_131250_R,20191031_131251_R,20191031_131252_R"
DzSHqdPB76-36:32~1,1,"20191031_131250_R,20191031_131251_R,20191031_131252_R"
DzSHqdPB76-39:28~1,1,"20191031_131250_R,20191031_131251_R,20191031_131252_R"
DzSHqdPB76-37:33~2,1,"20191031_131250_R,20191031_131251_R,20191031_131252_R"
DzSHqdPB76-40:24~1,1,"20191031_131250_R,20191031_131251_R,20191031_131252_R"
DzSHqdPB76-37:34~1,1,"20191031_131250_R,20191031_131251_R,20191031_131252_R"
DzSHqdPB76-37:34~2,1,"20191031_131250_R,20191031_131251_R,20191031_131252_R"
DzSHqdPB76-37:33~3,1,"20191031_131250_R,20191031_131251_R,20191031_131252_R"
DzSHqdPB76-38:32~1,1,"20191031_131250_R,20191031_131251_R,20191031_131252_R"
